Design,Original Area,Area_64,Area_128,Area_256,Area_512,Area_1024,Area_2048,Area_4096,Area_5120,Area_6144,Area_7168,Original Power,Power_64,Power_128,Power_256,Power_512,Power_1024,Power_2048,Power_4096,Power_5120,Power_6144,Power_7168,Original Timing,Timing_64,Timing_128,Timing_256,Timing_512,Timing_1024,Timing_2048,Timing_4096,Timing_5120,Timing_6144,Timing_7168,Area Overhead_64 %,Area Overhead_128 %,Area Overhead_256 %,Area Overhead_512 %,Area Overhead_1024 %,Area Overhead_2048 %,Area Overhead_4096 %,Area Overhead_5120 %,Area Overhead_6144 %,Area Overhead_7168 %,Power Overhead_64 %,Power Overhead_128 %,Power Overhead_256 %,Power Overhead_512 %,Power Overhead_1024 %,Power Overhead_2048 %,Power Overhead_4096 %,Power Overhead_5120 %,Power Overhead_6144 %,Power Overhead_7168 %,Timing Overhead_64 %,Timing Overhead_128 %,Timing Overhead_256 %,Timing Overhead_512 %,Timing Overhead_1024 %,Timing Overhead_2048 %,Timing Overhead_4096 %,Timing Overhead_5120 %,Timing Overhead_6144 %,Timing Overhead_7168 %
fir,10134.533694,10795.308085,11456.082476,12777.631259,15420.728824,20706.923953,,,,,,1.1776,1.1158,1.1756,1.2514,1.5333,1.7694,,,,,,0.15,3.36,3.18,3.86,4.75,5.16,,,,,,6.520027570594615,13.04005514118921,26.080110292245678,52.160220584491356,104.32044115911548,,,,,,-5.2479619565217455,-0.16983695652173927,6.266983695652181,30.205502717391315,50.254755434782616,,,,,,2140.0,2020.0000000000002,2473.3333333333335,3066.6666666666665,3340.0,,,,,
dft,646970.871459,647631.64585,648292.420241,649613.969023,652257.066588,657543.261718,668115.651976,689260.432494,699832.822753,710405.213012,720977.60327,32.6879,32.7401,32.7501,33.118,33.6761,35.4224,36.2839,39.9885,41.0634,44.0649,44.0532,0.1,5.03,5.0,5.0,4.25,5.03,5.03,5.03,5.03,5.62,5.03,0.10213356120806452,0.20426712241614706,0.4085342448322941,0.8170684898191737,1.634136979792915,3.268273959431263,6.536547919017075,8.170684898809991,9.804821878602905,11.438958858241254,0.1596921184903256,0.19028447835438878,1.3157773977526945,3.0231370017651766,8.365480804823816,11.00101260711151,22.334258242346568,25.622631004133034,34.804927817326906,34.76913475628596,4930.0,4900.0,4900.0,4150.0,4930.0,4930.0,4930.0,4930.0,5520.0,4930.0
md5,17429.33258,18090.106971,18750.881362,20072.430144,22715.527709,28001.722838,38574.113097,59718.893615,70291.283874,,,0.8463,1.3922,2.2355,2.8959,2.8156,3.9817,5.7043,7.719,7.0157,,,0.12,9.21,9.23,8.93,9.38,9.85,11.13,13.48,14.13,,,3.791162902922831,7.582325805845641,15.164651611691282,30.329303229119997,60.65860645823997,121.31721292221738,242.63442585017222,303.2930323141496,,,64.50431289140967,164.1498286659577,242.1836228287841,232.69526172751975,370.48328016069945,574.0281224152192,812.0879120879121,728.9849935011224,,,7575.000000000002,7591.666666666669,7341.666666666667,7716.666666666669,8108.333333333334,9175.000000000002,11133.333333333334,11675.000000000002,,
des_3,7896.441658,8557.216049,9217.99044,10539.539222,13182.636787,18468.831916,29041.222175,,,,,2.7723,2.7714,2.4168,2.1209,3.0489,4.1709,4.5547,,,,,0.32,2.83,2.95,3.02,3.06,3.71,4.14,,,,,8.368001938323202,16.736003876646382,33.472007753292765,66.94401551924946,133.88803103849892,267.77606208966176,,,,,-0.03246401904556227,-12.823287522995352,-23.496735562529313,9.977275186668116,50.44908559679687,64.29318616311367,,,,,784.3750000000001,821.875,843.75,856.25,1059.375,1193.75,,,,
rsa,1129236.211072,1129896.985463,1130557.759854,1131879.308636,1134522.406201,1139808.60133,1150380.991589,1171525.772107,1182098.162366,1192670.552624,1203242.942883,51.0784,51.2283,51.3312,51.9083,52.1964,53.3385,54.9985,58.9623,59.8297,62.7019,63.0129,0.16,4.9,4.53,6.98,6.75,7.32,7.32,7.4,7.88,8.02,7.88,0.05851516135606772,0.11703032271215606,0.23406064542429147,0.46812129093715976,0.9362425818742989,1.8724851638371538,3.7449703277628634,4.681212909725719,5.617455491600017,6.553698073562872,0.29347042977069615,0.49492544793885596,1.6247572359353364,2.1887921313118555,4.424766633253981,7.674672660067657,15.434900075178543,17.133073862924448,22.756194399198097,23.365062335546924,2962.5,2731.25,4262.5,4118.75,4475.0,4475.0,4525.0,4825.0,4912.499999999999,4825.0
gps,448889.196459,449549.97085,450210.745242,,454175.391589,459461.586718,470033.976977,491178.757494,,512323.538012,522895.928271,20.4482,17.4571,17.9577,,20.1912,22.2742,26.0365,32.0061,,37.6805,39.3602,0.26,0.87,3.7,,4.6,3.86,4.64,4.64,,4.61,4.61,0.14720211495674462,0.2944042301362631,,1.1776169200995308,2.3552338399762873,4.710467679952575,9.420935359682376,,14.131403039634938,16.486636879611225,-14.627693391105327,-12.179556146751308,,-1.2568343423871122,8.929881358750407,27.329055858217348,56.52282352480905,,84.27294333975608,92.4873583004861,234.61538461538458,1323.076923076923,,1669.230769230769,1384.6153846153845,1684.6153846153848,1684.6153846153848,,1673.0769230769233,1673.0769230769233
sha256,27041.535044,27702.309435,28363.083826,29684.632609,32327.730173,37613.925303,48186.315562,,79903.486338,90475.876597,101048.266856,3.121,3.0781,3.1731,3.8237,4.4754,5.6992,6.2209,,9.6224,10.1778,10.9304,0.14,3.87,5.02,4.52,5.27,5.56,6.46,,9.22,9.98,11.1,2.4435535553911247,4.8871071107822495,9.77421422526253,19.548428446827042,39.09685689735212,78.19371379470421,,195.4842844830625,234.58114138041455,273.67799827776673,-1.374559436078178,1.6693367510413268,22.5152194809356,43.396347324575444,82.60813841717399,99.32393463633453,,208.31143864146105,226.10701698173662,250.22108298622237,2664.2857142857138,3485.7142857142853,3128.571428571428,3664.2857142857138,3871.4285714285706,4514.285714285714,,6485.714285714284,7028.5714285714275,7828.5714285714275
aes_192,442110.627351,442771.401742,443432.176133,444753.724916,447396.82248,452683.01761,463255.407868,484400.188386,494972.578645,505544.968904,516117.359162,20.6799,17.6502,17.7151,18.957,19.9986,22.019,25.6832,32.2144,35.6589,37.7052,39.4551,0.22,2.83,2.11,1.01,2.92,2.93,2.88,2.89,2.91,3.08,2.92,0.1494590607240575,0.29891812144810187,0.5978362431223799,1.1956724860185706,2.391344972263331,4.782689944300471,9.565379888827133,11.956724861090464,14.348069833353794,16.739414805390933,-14.650457690801206,-14.33662638600767,-8.331278197670198,-3.294503358333455,6.475369803529023,24.194024149052943,55.77638189739794,72.43265199541585,82.32776754239623,90.78960729984188,1186.3636363636363,859.090909090909,359.0909090909091,1227.2727272727273,1231.8181818181818,1209.090909090909,1213.6363636363637,1222.7272727272727,1300.0,1227.2727272727273
idft,638356.869809,639017.6442,639678.418591,640999.967374,643643.064938,648929.260068,659501.650326,680646.430844,691218.821103,701791.211362,712363.60162,31.8572,32.0514,31.9842,32.5486,32.5178,33.3861,34.5724,37.8496,38.6768,39.2598,41.9883,0.1,1.83,1.91,2.95,2.88,2.87,3.37,3.43,3.92,3.62,3.83,0.10351175373073587,0.20702350746148995,0.4140470150796333,0.8280940300026315,1.6561880601618981,3.312376120167161,6.624752240490992,8.28094030065291,9.937128360814826,11.59331642082009,0.609595319111542,0.39865399344575936,2.170310008412546,2.0736285674823973,4.799229059678818,8.523034039400835,18.810190474994677,21.406777745690146,23.236819306153713,31.80160214959257,1729.9999999999998,1809.9999999999998,2850.0,2779.9999999999995,2770.0,3269.9999999999995,3329.9999999999995,3819.9999999999995,3519.9999999999995,3729.9999999999995
iir,14963.161477,15623.935868,16284.71026,17606.259042,20249.356607,25535.551736,36107.941995,,,,,1.5265,1.6863,1.8503,2.047,2.1717,2.6716,3.0375,,,,,0.11,4.66,4.25,5.43,6.27,7.23,10.43,,,,,4.416007887208079,8.832015781099226,17.664031555515386,35.32806311103076,70.65612621537842,141.3122524307568,,,,,10.468391745823777,21.211922698984612,34.09760890926958,42.266622993776615,75.01473960039307,98.98460530625614,,,,,4136.363636363636,3763.6363636363635,4836.363636363636,5599.999999999999,6472.727272727273,9381.818181818182,,,,
