Design,Original Area,Area_64,Area_128,Area_256,Area_512,Area_1024,Area_2048,Area_4096,Area_5120,Area_6144,Area_7168,Original Power,Power_64,Power_128,Power_256,Power_512,Power_1024,Power_2048,Power_4096,Power_5120,Power_6144,Power_7168,Original Timing,Timing_64,Timing_128,Timing_256,Timing_512,Timing_1024,Timing_2048,Timing_4096,Timing_5120,Timing_6144,Timing_7168,Area Overhead_64 %,Area Overhead_128 %,Area Overhead_256 %,Area Overhead_512 %,Area Overhead_1024 %,Area Overhead_2048 %,Area Overhead_4096 %,Area Overhead_5120 %,Area Overhead_6144 %,Area Overhead_7168 %,Power Overhead_64 %,Power Overhead_128 %,Power Overhead_256 %,Power Overhead_512 %,Power Overhead_1024 %,Power Overhead_2048 %,Power Overhead_4096 %,Power Overhead_5120 %,Power Overhead_6144 %,Power Overhead_7168 %,Timing Overhead_64 %,Timing Overhead_128 %,Timing Overhead_256 %,Timing Overhead_512 %,Timing Overhead_1024 %,Timing Overhead_2048 %,Timing Overhead_4096 %,Timing Overhead_5120 %,Timing Overhead_6144 %,Timing Overhead_7168 %
fir,10134.533694,10585.061694,11035.589694,12192.883483,14835.981048,20122.176177,,,,,,1.1776,1.2596,1.4267,1.776,1.8749,1.972,,,,,,0.15,7.59,6.85,10.43,10.75,15.28,,,,,,4.445473404136282,8.890946808272563,20.310256506607853,46.39036679885353,98.55058737347765,,,,,,6.963315217391311,21.153192934782616,50.81521739130436,59.21365489130436,67.45923913043478,,,,,,4960.0,4466.666666666666,6853.333333333333,7066.666666666667,10086.666666666666,,,,,
dft,646970.871459,647421.399459,647871.927459,648772.983458,650575.095458,654179.319457,661387.767455,,683013.111449,690221.559447,697430.007445,32.6879,32.9548,33.7415,34.3712,35.3511,37.0434,41.8217,,49.682,50.0448,54.0223,0.1,5.01,5.04,4.9,5.04,5.04,5.04,,6.95,8.08,8.5,0.06963651995397196,0.13927303990796194,0.27854607966135625,0.5570921594772802,1.1141843189545781,2.2283686379091563,,5.570921594772909,6.685105913727505,7.799290232682083,0.8165100847714282,3.2232110352760595,5.149611935915132,8.147357278993155,13.32450233878591,27.942449652623758,,51.988962276561054,53.09885309242871,65.26696422835361,4910.0,4940.0,4800.000000000001,4940.0,4940.0,4940.0,,6850.0,7980.0,8400.0
md5,17429.33258,17879.860579,18330.388579,19231.444579,21033.556579,25836.842028,36409.232287,,67919.911066,,,0.8463,1.3205,1.755,2.2426,3.5536,4.8269,6.191,,10.0429,,,0.12,12.8,24.36,19.15,37.85,48.98,60.96,,73.27,,,2.5848838269170358,5.169767659571507,10.33953532488047,20.6790706554984,48.23770164124094,108.89630810521835,,289.6873890853255,,,56.032139903107634,107.37327188940088,164.988774666194,319.89838118870375,470.35330261136704,631.5372799243767,,1086.6832092638545,,,10566.666666666668,20200.0,15858.333333333332,31441.666666666668,40716.66666666667,50700.00000000001,,60958.33333333333,,
des_3,7896.441658,8346.969657,8797.497657,9698.553657,11641.924951,16928.12008,27500.510339,,,,,2.7723,2.603,2.7376,2.9687,3.7203,5.0383,7.0487,,,,,0.32,5.86,9.33,18.63,25.98,28.21,32.36,,,,,5.705455932085099,11.410911876834133,22.8218237663322,47.4325456353546,114.37656115460406,248.26459220576695,,,,,-6.10684269379215,-1.2516682898676172,7.084370378386182,34.19543339465426,81.73718573026005,154.25459005158174,,,,,1731.25,2815.625,5721.874999999999,8018.75,8715.625,10012.5,,,,
rsa,1129236.211072,1129686.739071,1130137.267071,1131038.323071,1132840.435071,1136444.65907,1143653.107068,1158070.003064,1165278.451062,1172486.89906,1179695.347058,51.0784,51.2503,51.5084,51.7649,52.4758,53.782,55.9181,60.6307,62.4557,64.6564,67.1045,0.16,4.38,2.25,3.4,2.61,7.2,7.6,7.24,6.59,6.99,7.6,0.039896701379442366,0.07979340284746146,0.1595868057834584,0.3191736116554729,0.6383472233109665,1.2766944466219123,2.553388893243845,3.191736116554791,3.830083339865757,4.468430563176724,0.33654147349956304,0.8418431274276401,1.3440123418117935,2.7357943866683323,5.2930397193334064,9.475042287933844,18.701251409597784,22.274190264377893,26.582665079563974,31.375493359228162,2637.4999999999995,1306.2499999999998,2024.9999999999995,1531.2499999999998,4400.0,4649.999999999999,4425.0,4018.75,4268.75,4649.999999999999
gps,448889.196459,449339.724459,449790.252459,450691.308459,452493.420458,456097.644457,463306.092455,477722.988451,484931.43645,492139.884448,499348.332446,20.4482,17.5895,18.3729,19.3718,21.4607,24.441,29.1822,37.4651,40.216,43.3003,45.8754,0.26,1.58,1.07,1.66,2.49,4.56,4.62,4.62,4.57,4.62,5.43,0.10036507974660977,0.20073015949321954,0.401460318986452,0.8029206377501173,1.6058412755002476,3.2116825510004823,6.423365102000977,8.029206377723986,9.635047653224234,11.24088892872448,-13.980203636505898,-10.149059574925904,-5.26403302002132,4.95153607652507,19.52641308281413,42.71280601715555,83.21954988703162,96.67256775657516,111.75604698702087,124.34933148149958,507.6923076923077,311.53846153846155,538.4615384615385,857.6923076923078,1653.8461538461536,1676.923076923077,1676.923076923077,1657.6923076923076,1676.923076923077,1988.4615384615383
sha256,27041.535044,27492.063044,27942.591044,28843.647044,30645.759043,35393.197795,45965.588054,67110.368571,77682.75883,88255.149089,94997.112799,3.121,3.4999,3.5442,4.0798,5.2167,6.1111,6.9767,8.645,10.3631,10.7828,11.0366,0.14,9.04,15.42,10.39,30.21,33.97,31.92,36.92,44.29,46.89,48.91,1.6660592650044916,3.332118530008997,6.664237060017994,13.328474116337958,30.88457344381814,69.98143034117024,148.1751441321764,187.27200102952855,226.36885792688065,251.30074030349115,12.14033963473245,13.55975648830503,30.720922781159878,67.14834988785647,95.80583146427428,123.54053188080745,176.99455302787567,232.04421659724446,245.4918295418135,253.623838513297,6357.142857142855,10914.285714285712,7321.428571428571,21478.571428571428,24164.28571428571,22700.0,26271.428571428572,31535.714285714283,33392.85714285714,34835.714285714275
aes_192,442110.627351,442561.155351,443011.683351,443912.73935,445714.85135,449319.075349,456527.523347,470944.419343,478152.867341,485361.315339,492569.763337,20.6799,17.8921,18.2238,19.4797,21.13,24.0608,29.7088,37.448,40.689,43.5135,45.9819,0.22,1.02,1.05,1.01,2.87,3.67,2.85,2.93,2.93,4.21,4.02,0.10190390642710488,0.20380781285419658,0.4076156254821906,0.8152312511905705,1.6304625023811279,3.2609250047622558,6.521850009524499,8.152312511905627,9.782775014286754,11.41323751666787,-13.480722827479827,-11.876749887571988,-5.803703112684292,2.1765095575897324,16.34872509054686,43.660269150237674,81.08404779520211,96.75627058157922,110.41446041808713,122.35068834955682,363.6363636363637,377.2727272727273,359.0909090909091,1204.5454545454545,1568.181818181818,1195.4545454545453,1231.8181818181818,1231.8181818181818,1813.6363636363637,1727.272727272727
idft,638356.869809,638807.397809,639257.925809,640158.981808,641961.093808,645565.317807,652773.765805,667190.661801,674399.109799,681607.557797,688816.005795,31.8572,32.0092,32.3498,32.5082,33.8042,36.2069,38.146,42.8762,46.2603,47.7704,47.2379,0.1,1.27,3.15,2.12,2.54,3.71,4.2,5.34,5.82,5.83,7.26,0.07057619668677388,0.141152393373566,0.28230478659047864,0.5646095733376105,1.1292191466752395,2.258438293350479,4.516876586700977,5.646095733376216,6.775314880051473,7.904534026726713,0.47712918900594226,1.546275253317941,2.043494092387289,6.111648230227399,13.65374232512587,19.740592393556252,34.58872719510816,45.211443566917374,49.95165927953494,48.280137614102955,1170.0,3049.9999999999995,2020.0,2440.0,3609.9999999999995,4100.0,5240.0,5720.0,5730.0,7159.999999999999
iir,14963.161477,15413.689477,15864.217477,16765.273477,19184.984251,24471.17938,35043.569639,,,,,1.5265,1.8449,2.1363,2.7877,3.7062,3.6477,3.9876,,,,,0.11,6.78,10.76,18.83,22.55,25.2,29.41,,,,,3.0109145095607674,6.021829019121535,12.04365803824306,28.214777876248952,63.542840980596615,134.19896719597503,,,,,20.858172289551263,39.9475925319358,82.62037340320997,142.7906976744186,138.95840157222403,161.22502456600066,,,,,6063.636363636363,9681.818181818182,17018.181818181816,20400.0,22809.090909090908,26636.363636363636,,,,
